CityWBAN,CityDist,City,State
14734,16060.736947391697,New York,New York
178,24577.03029283369,New York,New York
94741,18376.20993646607,New York,New York
94789,18009.507719143854,New York,New York
14732,12136.971665362318,New York,New York
54743,32469.04923384791,New York,New York
93134,11526.959320170208,Los Angeles,California
23130,22191.770144929782,Los Angeles,California
93197,3720.230305903803,Los Angeles,California
23129,32944.19911928174,Los Angeles,California
53130,26533.9625734025,Los Angeles,California
23152,20715.821456096714,Los Angeles,California
3174,25266.186075114078,Los Angeles,California
93136,39584.04974676091,Los Angeles,California
3167,13045.782590131807,Los Angeles,California
53141,42039.19617147639,Los Angeles,California
23174,9409.909752061834,Los Angeles,California
3165,35523.40691748447,Los Angeles,California
14819,5605.763036766887,Chicago,Illinois
94866,11512.726696011005,Chicago,Illinois
94846,23647.81633266043,Chicago,Illinois
12960,20051.44918765113,Houston,Texas
188,14069.754632105418,Houston,Texas
12975,39969.253908035855,Houston,Texas
12977,29514.475670359752,Houston,Texas
53910,28445.495475921023,Houston,Texas
12918,26992.257600409186,Houston,Texas
208,42622.67161700478,Houston,Texas
223,36091.14879154771,Houston,Texas
12906,36823.42736348897,Houston,Texas
3184,10120.81658251741,Phoenix,Arizona
23111,23802.59445905934,Phoenix,Arizona
53126,17702.799253403686,Phoenix,Arizona
23183,22217.71494331847,Phoenix,Arizona
3192,19949.335243964324,Phoenix,Arizona
3186,31441.161877638828,Phoenix,Arizona
94732,12673.098381243102,Philadelphia,Pennsylvania
64752,17551.983300987806,Philadelphia,Pennsylvania
13739,17690.130357964368,Philadelphia,Pennsylvania
12921,9775.619666727647,San Antonio,Texas
12909,10528.242820637584,San Antonio,Texas
12970,14142.137971881246,San Antonio,Texas
12911,25556.58319110878,San Antonio,Texas
93115,28693.247174385633,San Diego,California
23188,11885.261771989877,San Diego,California
3177,37282.003393606385,San Diego,California
3178,30710.63977649042,San Diego,California
53120,29719.007547838384,San Diego,California
93112,16383.286619521405,San Diego,California
93107,5544.79515796683,San Diego,California
3131,2903.2030461336594,San Diego,California
53143,12654.527075156951,San Diego,California
53975,26755.5034481634,Dallas,Texas
3927,29116.139456640998,Dallas,Texas
3971,19974.943204976615,Dallas,Texas
448,30396.148149429177,Dallas,Texas
13960,11998.0937581032,Dallas,Texas
53984,32406.82708673096,Dallas,Texas
3970,19353.433943571858,Dallas,Texas
53970,20391.423827773993,Dallas,Texas
23244,23751.883885192005,San Jose,California
93232,3998.3936074248086,San Jose,California
23293,11746.063641017508,San Jose,California
13958,1904.6330574661347,Austin,Texas
